"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Action & Adventure","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Action & Adventure","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Actors--United States--Biography","general term","013881385","Monograph","Language material ; Text","Volume","","","","Farrell, Barry","","person","","Farrell, Barry [person]","Pat and Roald","","","","United States of America","New York","Random House","1969","","241 pages, portraits, 22 cm","791.430280924","AL69/8330","","English","","",""
"Adams, Richard, 1920-2016--Translations into Spanish--History and criticism","person","013080997","Monograph","Language material ; Text","Volume","","","9788497730822","González Cascallana, Belén","","person","","González Cascallana, Belén [person]","Translation and intertextuality : a descriptive study of contemporary British children fantasy literature in Spain (1970-2000)","","Serie Tesis doctorales (Universidad de León)","","Spain","León","Universidad de León, Secretariado de Publicaciones y Medios Audiovisuales","2003","","37, xi, 510 pages, 24 cm","","YD.2005.a.3828","","English ; Spanish","","",""
"Adulthood--Sexual behavior--Fiction","general term","007469198","Monograph","Language material ; Text","Sheet","GB9955486","","9781860920349","Dahl, Roald","","person","","Dahl, Roald [person]","The great switcheroo","","Travelman sex ; Travelman short stories","number 1 [Travelman sex]","England","London","Travelman","1998","","1 sheet, 39 x 46 cm folded to 20 x 10 cm","823.914","H.2000/1839","Fiction","English","","",""
"Adventure stories (Children's / Teenage)","general term","018409956","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7B5478","","9780141377513","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Billy and the Minpins","","","","England","London","Puffin","2017","New edition, illustrated by Quentin Blake","1 online resource, colour illustrations","823.914","ELD.DS.191655","Children's fiction","English","Additional physical form: Print version. 9780141377506","",""
"Adventure stories (Children's / Teenage)","general term","019142826","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB8M0441","","9780241399514","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Billy and the Minpins","Minpins","","","England","London","Puffin","2019","Colour edition, illustrated by Quentin Blake","1 online resource, colour illustrations","823.914","ELD.DS.369485","Children's fiction","English","Additional physical form: Print version. 9780141377537","",""
"Africa, East","geographical term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Air Forces & Warfare","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Animal stories (Children's / Teenage)","general term","018386010","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7A3585","","9780141378428","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The enormous crocodile","","","","England","London","Puffin","2016","","1 online resource, colour illustrations","823.914","ELD.DS.194571","Children's fiction ; Humour or satire","English","Additional physical form: Print version. 9780141369303 ; Previously issued in print: London: Jonathan Cape, 1978","",""
